source,query_used,google_volume_id,title_gb,subtitle_gb,authors_gb,publisher,published_date_raw,page_count,language_raw,categories_raw,isbn10_gb,isbn13_gb,price_amount,price_currency,info_link,self_link
google_books,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking nan,EZAtAAAAQBAJ,Data Science for Business,What You Need to Know about Data Mining and Data-Analytic Thinking,"Foster Provost, Tom Fawcett","""O'Reilly Media, Inc.""",2013-07-27,414.0,en,Business & Economics,1449374298,9781449374297,,,http://books.google.es/books?id=EZAtAAAAQBAJ&dq=Data+Science+for+Business:+What+You+Need+to+Know+about+Data+Mining+and+Data-Analytic+Thinking+nan&hl=&source=gbs_api,https://www.googleapis.com/books/v1/volumes/EZAtAAAAQBAJ
google_books,Data Smart: Using Data Science to Transform Information into Insight nan,NHPnEAAAQBAJ,Big Data Analytics for Smart Transport and Healthcare Systems,,"Saeid Pourroostaei Ardakani, Ali Cheshmehzangi",Springer Nature,2023-12-03,197.0,en,Computers,9819966205,9789819966202,114.39,EUR,https://play.google.com/store/books/details?id=NHPnEAAAQBAJ&source=gbs_api,https://www.googleapis.com/books/v1/volumes/NHPnEAAAQBAJ
google_books,Data Science from Scratch: First Principles with Python nan,JYodCAAAQBAJ,Data Science from Scratch,First Principles with Python,Joel Grus,"""O'Reilly Media, Inc.""",2015-04-14,330.0,en,Computers,1491904402,9781491904404,,,http://books.google.es/books?id=JYodCAAAQBAJ&dq=Data+Science+from+Scratch:+First+Principles+with+Python+nan&hl=&source=gbs_api,https://www.googleapis.com/books/v1/volumes/JYodCAAAQBAJ
google_books,Mindmasters: The Data-Driven Science of Predicting and Changing Human Behavior nan,uDvwEAAAQBAJ,Mindmasters,The Data-Driven Science of Predicting and Changing Human Behavior,Sandra Matz,Harvard Business Press,2025-01-07,150.0,en,Psychology,1647826322,9781647826321,30.99,EUR,https://play.google.com/store/books/details?id=uDvwEAAAQBAJ&source=gbs_api,https://www.googleapis.com/books/v1/volumes/uDvwEAAAQBAJ
google_books,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data nan",I6y3DQAAQBAJ,R for Data Science,"Import, Tidy, Transform, Visualize, and Model Data","Hadley Wickham, Garrett Grolemund","""O'Reilly Media, Inc.""",2016-12-12,432.0,en,Computers,1491910348,9781491910344,,,"http://books.google.es/books?id=I6y3DQAAQBAJ&dq=R+for+Data+Science:+Import,+Tidy,+Transform,+Visualize,+and+Model+Data+nan&hl=&source=gbs_api",https://www.googleapis.com/books/v1/volumes/I6y3DQAAQBAJ
google_books,Doing Data Science: Straight Talk from the Frontline nan,vcVKAQAAQBAJ,Doing Data Science,Straight Talk from the Frontline,"Cathy O'Neil, Rachel Schutt","""O'Reilly Media, Inc.""",2013-10-09,320.0,en,Computers,144936389X,9781449363895,32.24,EUR,https://play.google.com/store/books/details?id=vcVKAQAAQBAJ&source=gbs_api,https://www.googleapis.com/books/v1/volumes/vcVKAQAAQBAJ
google_books,Numsense! Data Science for the Layman: No Math Added nan,T2LeAQAACAAJ,Numsense! Data Science for the Layman,No Math Added,Annalyn Ng,Annalyn Ng & Kenneth Soo,2017-03-24,,en,,9811110689,9789811110689,,,http://books.google.es/books?id=T2LeAQAACAAJ&dq=Numsense!+Data+Science+for+the+Layman:+No+Math+Added+nan&hl=&source=gbs_api,https://www.googleapis.com/books/v1/volumes/T2LeAQAACAAJ
google_books,Python Data Science Handbook: Essential Tools for Working with Data nan,rCmgEAAAQBAJ,Python Data Science Handbook,Essential Tools for Working with Data,Jake VanderPlas,"O'Reilly Media, Inc.",2022-12-06,596.0,en,Computers,109812118X,9781098121181,46.79,EUR,https://play.google.com/store/books/details?id=rCmgEAAAQBAJ&source=gbs_api,https://www.googleapis.com/books/v1/volumes/rCmgEAAAQBAJ
google_books,Data Science nan,w84wDgAAQBAJ,Introduction to Data Science,"A Python Approach to Concepts, Techniques and Applications","Laura Igual, Santi Seguí",Springer,2017-02-22,227.0,en,Computers,3319500171,9783319500171,46.79,EUR,https://play.google.com/store/books/details?id=w84wDgAAQBAJ&source=gbs_api,https://www.googleapis.com/books/v1/volumes/w84wDgAAQBAJ
google_books,"Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning nan",GCUqEAAAQBAJ,Becoming a Data Head,"How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning","Alex J. Gutman, Jordan Goldmeier",John Wiley & Sons,2021-04-13,269.0,en,Business & Economics,1119741769,9781119741763,27.99,EUR,https://play.google.com/store/books/details?id=GCUqEAAAQBAJ&source=gbs_api,https://www.googleapis.com/books/v1/volumes/GCUqEAAAQBAJ
google_books,Data Science For Dummies (For Dummies nan,V4flEAAAQBAJ,Profound Python Data Science,,Önder Teker,Godoro,2023-11-26,232.0,en,Computers,6057172590,9786057172594,0.88,EUR,https://play.google.com/store/books/details?id=V4flEAAAQBAJ&source=gbs_api,https://www.googleapis.com/books/v1/volumes/V4flEAAAQBAJ
google_books,"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street nan",82iszgEACAAJ,Ace the Data Science Interview,"201 Real Interview Questions Asked by FAANG, Tech Startups, & Wall Street","Kevin Huo, Nick Singh",,2021,0.0,en,Business & Economics,0578973839,9780578973838,,,"http://books.google.es/books?id=82iszgEACAAJ&dq=Ace+the+Data+Science+Interview:+201+Real+Interview+Questions+Asked+By+FAANG,+Tech+Startups,+%26+Wall+Street+nan&hl=&source=gbs_api",https://www.googleapis.com/books/v1/volumes/82iszgEACAAJ
